word,asterisks,level
chocolate,1,star1_elementary
choice,2,star2_mid_high_common
choir,0,none
choose,1,star1_elementary
chop,2,star2_mid_high_common
chorus,0,none
chronic,0,none
church,1,star1_elementary
cigarette,2,star2_mid_high_common
cinema,2,star2_mid_high_common
circle,1,star1_elementary
circulate,0,none
circumstance,2,star2_mid_high_common
cite,0,none
citizen,2,star2_mid_high_common
city,1,star1_elementary
civil,2,star2_mid_high_common
claim,2,star2_mid_high_common
clap,0,none
clash,0,none
class,1,star1_elementary
clause,0,none
clay,0,none
clean,1,star1_elementary
clear,1,star1_elementary
clerk,2,star2_mid_high_common
clever,1,star1_elementary
click,2,star2_mid_high_common
client,2,star2_mid_high_common
cliff,2,star2_mid_high_common
climate,2,star2_mid_high_common
climb,1,star1_elementary
cling,0,none
clinic,0,none
clip,2,star2_mid_high_common
clock,1,star1_elementary
close,1,star1_elementary
clothes,1,star1_elementary
cloud,1,star1_elementary
club,1,star1_elementary
