word,asterisks,level
subtle,0,none
suburb,0,none
subway,1,star1_elementary
succeed,2,star2_mid_high_common
success,2,star2_mid_high_common
such,2,star2_mid_high_common
suck,0,none
sudden,2,star2_mid_high_common
suffer,2,star2_mid_high_common
suffice,0,none
sugar,1,star1_elementary
suggest,2,star2_mid_high_common
suicide,0,none
suit,2,star2_mid_high_common
suite,0,none
sum,2,star2_mid_high_common
summer,1,star1_elementary
summit,0,none
sun,1,star1_elementary
super,2,star2_mid_high_common
superb,0,none
superior,0,none
supervise,0,none
supper,2,star2_mid_high_common
supplement,0,none
supply,2,star2_mid_high_common
support,2,star2_mid_high_common
suppose,2,star2_mid_high_common
sure,1,star1_elementary
surface,2,star2_mid_high_common
surgery,0,none
surprise,2,star2_mid_high_common
surrender,0,none
surround,2,star2_mid_high_common
survey,2,star2_mid_high_common
survive,2,star2_mid_high_common
suspect,2,star2_mid_high_common
suspend,0,none
sustain,0,none
swallow,2,star2_mid_high_common
swear,0,none
sweat,0,none
sweater,2,star2_mid_high_common
sweep,2,star2_mid_high_common
sweet,2,star2_mid_high_common
swell,0,none
swift,0,none
swim,1,star1_elementary
swing,2,star2_mid_high_common
switch,2,star2_mid_high_common
symbol,0,none
sympathy,0,none
symphony,0,none
symptom,0,none
system,2,star2_mid_high_common
table,1,star1_elementary
tackle,0,none
tag,0,none
tail,1,star1_elementary
take,1,star1_elementary
tale,2,star2_mid_high_common
talent,0,none
talk,1,star1_elementary
tall,1,star1_elementary
tank,2,star2_mid_high_common
tap,2,star2_mid_high_common
tape,1,star1_elementary
target,2,star2_mid_high_common
task,0,none
taste,1,star1_elementary
tax,2,star2_mid_high_common
taxi,1,star1_elementary
tea,2,star2_mid_high_common
teach,1,star1_elementary
team,1,star1_elementary
tear,2,star2_mid_high_common
tease,0,none
technique,2,star2_mid_high_common
technic,2,star2_mid_high_common
technology,2,star2_mid_high_common
teenage,2,star2_mid_high_common
telegraph,0,none
telephone,1,star1_elementary
phone,1,star1_elementary
television,1,star1_elementary
tell,1,star1_elementary
temperature,2,star2_mid_high_common
temple,0,none
temporary,0,none
tempt,0,none
ten,1,star1_elementary
tenant,0,none
tend,2,star2_mid_high_common
tender,0,none
tennis,1,star1_elementary
tense,2,star2_mid_high_common
tent,1,star1_elementary
term,2,star2_mid_high_common
terminal,0,none
terminate,0,none
terrace,0,none
terrible,2,star2_mid_high_common
terrific,0,none
territory,0,none
terror,0,none
test,1,star1_elementary
text,2,star2_mid_high_common
textbook,1,star1_elementary
than,1,star1_elementary
thank,1,star1_elementary
that,1,star1_elementary
the,1,star1_elementary
theater,2,star2_mid_high_common
theatre,2,star2_mid_high_common
theme,0,none
then,2,star2_mid_high_common
theory,2,star2_mid_high_common
therapy,0,none
there,1,star1_elementary
therefore,2,star2_mid_high_common
they,1,star1_elementary
thick,2,star2_mid_high_common
thief,2,star2_mid_high_common
thin,2,star2_mid_high_common
thing,1,star1_elementary
think,1,star1_elementary
third,1,star1_elementary
thirst,1,star1_elementary
thirteen,1,star1_elementary
thirty,1,star1_elementary
this,1,star1_elementary
thorough,0,none
though,2,star2_mid_high_common
thousand,2,star2_mid_high_common
thread,0,none
threat,2,star2_mid_high_common
three,1,star1_elementary
thrill,0,none
throat,2,star2_mid_high_common
through,2,star2_mid_high_common
throw,2,star2_mid_high_common
thumb,0,none
thus,2,star2_mid_high_common
tick,0,none
ticket,1,star1_elementary
tide,2,star2_mid_high_common
tie,2,star2_mid_high_common
tiger,1,star1_elementary
tight,2,star2_mid_high_common
till,2,star2_mid_high_common
timber,0,none
time,1,star1_elementary
tin,2,star2_mid_high_common
tiny,2,star2_mid_high_common
tip,2,star2_mid_high_common
tire,1,star1_elementary
tissue,0,none
title,2,star2_mid_high_common
to,1,star1_elementary
toast,2,star2_mid_high_common
today,1,star1_elementary
toe,2,star2_mid_high_common
together,1,star1_elementary
toilet,2,star2_mid_high_common
tomato,1,star1_elementary
tomorrow,1,star1_elementary
tone,2,star2_mid_high_common
tongue,2,star2_mid_high_common
tonight,1,star1_elementary
too,1,star1_elementary
tool,2,star2_mid_high_common
tooth,1,star1_elementary
top,1,star1_elementary
topic,2,star2_mid_high_common
torture,0,none
toss,0,none
total,2,star2_mid_high_common
touch,1,star1_elementary
tough,2,star2_mid_high_common
tour,2,star2_mid_high_common
toward,2,star2_mid_high_common
towards,2,star2_mid_high_common
towel,2,star2_mid_high_common
tower,2,star2_mid_high_common
town,1,star1_elementary
toxic,0,none
toy,1,star1_elementary
trace,2,star2_mid_high_common
track,1,star1_elementary
trade,2,star2_mid_high_common
tradition,2,star2_mid_high_common
traffic,2,star2_mid_high_common
tragic,0,none
trail,0,none
train,1,star1_elementary
transact,0,none
transfer,2,star2_mid_high_common
transform,0,none
transition,0,none
translate,0,none
transmit,0,none
transport,2,star2_mid_high_common
trap,2,star2_mid_high_common
travel,1,star1_elementary
tray,2,star2_mid_high_common
treasure,0,none
treat,2,star2_mid_high_common
treaty,0,none
tree,1,star1_elementary
tremendous,0,none
trend,0,none
triangle,2,star2_mid_high_common
tribe,0,none
trick,2,star2_mid_high_common
trigger,0,none
trim,0,none
trip,1,star1_elementary
triumph,0,none
troop,0,none
trouble,2,star2_mid_high_common
truck,1,star1_elementary
true,1,star1_elementary
trunk,2,star2_mid_high_common
trust,2,star2_mid_high_common
truth,2,star2_mid_high_common
try,1,star1_elementary
tube,0,none
tune,2,star2_mid_high_common
tunnel,0,none
turn,1,star1_elementary
turnover,0,none
twelve,1,star1_elementary
twenty,1,star1_elementary
twenty-first,1,star1_elementary
twenty-second,1,star1_elementary
twenty-third,1,star1_elementary
twice,1,star1_elementary
twin,2,star2_mid_high_common
twist,2,star2_mid_high_common
two,1,star1_elementary
type,1,star1_elementary
ugly,1,star1_elementary
ultimate,0,none
umbrella,1,star1_elementary
uncle,1,star1_elementary
under,1,star1_elementary
undergo,0,none
underlie,0,none
undermine,0,none
understand,1,star1_elementary
undertake,0,none
uniform,2,star2_mid_high_common
unify,0,none
unique,0,none
unit,2,star2_mid_high_common
unite,2,star2_mid_high_common
universe,0,none
university,2,star2_mid_high_common
unless,2,star2_mid_high_common
until,2,star2_mid_high_common
up,1,star1_elementary
update,0,none
upon,2,star2_mid_high_common
upper,2,star2_mid_high_common
upset,2,star2_mid_high_common
upward,0,none
upwards,0,none
urban,0,none
urge,0,none
use,1,star1_elementary
utilize,0,none
utilise,0,none
utter,0,none
vacate,0,none
vaccine,0,none
vacuum,0,none
vague,0,none
valid,0,none
valley,2,star2_mid_high_common
value,2,star2_mid_high_common
van,2,star2_mid_high_common
vanish,0,none
various,2,star2_mid_high_common
vary,2,star2_mid_high_common
vast,0,none
vegetable,1,star1_elementary
vehicle,2,star2_mid_high_common
venture,0,none
verb,0,none
verse,0,none
version,2,star2_mid_high_common
versus,0,none
vertical,0,none
very,1,star1_elementary
vessel,0,none
veterinarian,0,none
via,0,none
vice,0,none
victim,2,star2_mid_high_common
victory,0,none
video,1,star1_elementary
view,2,star2_mid_high_common
vigor,0,none
villa,2,star2_mid_high_common
village,2,star2_mid_high_common
violent,2,star2_mid_high_common
violin,1,star1_elementary
virgin,0,none
virtue,0,none
virus,0,none
visible,0,none
vision,2,star2_mid_high_common
visit,1,star1_elementary
visual,0,none
vital,0,none
vivid,0,none
vocabulary,0,none
vocation,0,none
voice,1,star1_elementary
volume,2,star2_mid_high_common
